Epoch: 180, cost_train = 0.083058167, accuracy_train = 97.83%, accuracy_test = 98.16%
Epoch: 181, cost_train = 0.084674054, accuracy_train = 97.89%, accuracy_test = 98.21%
Epoch: 182, cost_train = 0.080651467, accuracy_train = 98.01%, accuracy_test = 98.25%
Epoch: 183, cost_train = 0.083129834, accuracy_train = 97.97%, accuracy_test = 98.16%
Epoch: 184, cost_train = 0.081459085, accuracy_train = 98.07%, accuracy_test = 98.17%
Epoch: 185, cost_train = 0.082292252, accuracy_train = 98.15%, accuracy_test = 98.19%
Epoch: 186, cost_train = 0.082720696, accuracy_train = 97.78%, accuracy_test = 98.22%
Epoch: 187, cost_train = 0.079930575, accuracy_train = 97.91%, accuracy_test = 98.21%
Epoch: 188, cost_train = 0.081805063, accuracy_train = 97.99%, accuracy_test = 98.20%
Epoch: 189, cost_train = 0.081632772, accuracy_train = 98.11%, accuracy_test = 98.28%
Epoch: 190, cost_train = 0.080399481, accuracy_train = 97.89%, accuracy_test = 98.19%
Epoch: 191, cost_train = 0.081934190, accuracy_train = 97.52%, accuracy_test = 98.21%
Epoch: 192, cost_train = 0.080125419, accuracy_train = 98.07%, accuracy_test = 98.28%
Epoch: 193, cost_train = 0.081036510, accuracy_train = 97.92%, accuracy_test = 98.22%
Epoch: 194, cost_train = 0.080493999, accuracy_train = 97.80%, accuracy_test = 98.21%
Epoch: 195, cost_train = 0.079052835, accuracy_train = 98.13%, accuracy_test = 98.24%
Epoch: 196, cost_train = 0.079529881, accuracy_train = 97.91%, accuracy_test = 98.36%
Epoch: 197, cost_train = 0.081324504, accuracy_train = 98.06%, accuracy_test = 98.34%
Epoch: 198, cost_train = 0.079736701, accuracy_train = 97.84%, accuracy_test = 98.25%
Epoch: 199, cost_train = 0.079632581, accuracy_train = 98.16%, accuracy_test = 98.31%
Epoch: 200, cost_train = 0.079221195, accuracy_train = 97.97%, accuracy_test = 98.35%
Epoch: 201, cost_train = 0.077434095, accuracy_train = 98.20%, accuracy_test = 98.30%
Epoch: 202, cost_train = 0.077036771, accuracy_train = 97.92%, accuracy_test = 98.29%
Epoch: 203, cost_train = 0.080379275, accuracy_train = 97.64%, accuracy_test = 98.22%
Epoch: 204, cost_train = 0.076221924, accuracy_train = 97.93%, accuracy_test = 98.33%
Epoch: 205, cost_train = 0.076116989, accuracy_train = 97.95%, accuracy_test = 98.35%
Epoch: 206, cost_train = 0.077697624, accuracy_train = 98.22%, accuracy_test = 98.22%
Epoch: 207, cost_train = 0.076154053, accuracy_train = 98.17%, accuracy_test = 98.27%
Epoch: 208, cost_train = 0.076887372, accuracy_train = 98.10%, accuracy_test = 98.40%
Epoch: 209, cost_train = 0.075051549, accuracy_train = 98.33%, accuracy_test = 98.36%
Epoch: 210, cost_train = 0.074824859, accuracy_train = 98.11%, accuracy_test = 98.25%
Epoch: 211, cost_train = 0.075240206, accuracy_train = 97.98%, accuracy_test = 98.33%
Epoch: 212, cost_train = 0.077540453, accuracy_train = 97.97%, accuracy_test = 98.35%
Epoch: 213, cost_train = 0.078113068, accuracy_train = 97.96%, accuracy_test = 98.30%
Epoch: 214, cost_train = 0.078096979, accuracy_train = 98.05%, accuracy_test = 98.33%
Epoch: 215, cost_train = 0.075898000, accuracy_train = 98.26%, accuracy_test = 98.32%
Epoch: 216, cost_train = 0.075812033, accuracy_train = 98.14%, accuracy_test = 98.37%
Epoch: 217, cost_train = 0.075324025, accuracy_train = 98.39%, accuracy_test = 98.32%
Epoch: 218, cost_train = 0.072424289, accuracy_train = 98.21%, accuracy_test = 98.33%
Epoch: 219, cost_train = 0.074692357, accuracy_train = 98.20%, accuracy_test = 98.30%
Epoch: 220, cost_train = 0.073979604, accuracy_train = 97.77%, accuracy_test = 98.26%
Epoch: 221, cost_train = 0.074224145, accuracy_train = 98.05%, accuracy_test = 98.34%
Epoch: 222, cost_train = 0.073626026, accuracy_train = 98.22%, accuracy_test = 98.28%
Epoch: 223, cost_train = 0.073999603, accuracy_train = 97.98%, accuracy_test = 98.34%
