Epoch: 142, cost_train = 0.118866754, accuracy_train = 96.79%, accuracy_test = 97.99%
Epoch: 143, cost_train = 0.118398236, accuracy_train = 96.93%, accuracy_test = 97.91%
Epoch: 144, cost_train = 0.114922028, accuracy_train = 96.66%, accuracy_test = 97.99%
Epoch: 145, cost_train = 0.116796613, accuracy_train = 96.97%, accuracy_test = 97.98%
Epoch: 146, cost_train = 0.116098361, accuracy_train = 96.95%, accuracy_test = 97.90%
Epoch: 147, cost_train = 0.116752436, accuracy_train = 97.03%, accuracy_test = 97.85%
Epoch: 148, cost_train = 0.113566869, accuracy_train = 96.97%, accuracy_test = 97.92%
Epoch: 149, cost_train = 0.115060834, accuracy_train = 96.66%, accuracy_test = 97.98%
Epoch: 150, cost_train = 0.115414207, accuracy_train = 96.75%, accuracy_test = 97.97%
Epoch: 151, cost_train = 0.115052677, accuracy_train = 96.97%, accuracy_test = 98.06%
Epoch: 152, cost_train = 0.117118187, accuracy_train = 97.01%, accuracy_test = 98.06%
Epoch: 153, cost_train = 0.112847344, accuracy_train = 97.03%, accuracy_test = 98.08%
Epoch: 154, cost_train = 0.114731467, accuracy_train = 96.75%, accuracy_test = 97.90%
Epoch: 155, cost_train = 0.110514167, accuracy_train = 97.08%, accuracy_test = 98.03%
Epoch: 156, cost_train = 0.113792803, accuracy_train = 96.76%, accuracy_test = 98.00%
Epoch: 157, cost_train = 0.111803575, accuracy_train = 96.71%, accuracy_test = 97.99%
Epoch: 158, cost_train = 0.111999098, accuracy_train = 97.00%, accuracy_test = 98.05%
Epoch: 159, cost_train = 0.110621772, accuracy_train = 97.25%, accuracy_test = 98.06%
Epoch: 160, cost_train = 0.112651920, accuracy_train = 97.04%, accuracy_test = 98.04%
Epoch: 161, cost_train = 0.111146783, accuracy_train = 96.99%, accuracy_test = 98.05%
Epoch: 162, cost_train = 0.111081728, accuracy_train = 97.16%, accuracy_test = 98.01%
Epoch: 163, cost_train = 0.108222232, accuracy_train = 97.13%, accuracy_test = 98.08%
Epoch: 164, cost_train = 0.109360379, accuracy_train = 97.01%, accuracy_test = 97.93%
Epoch: 165, cost_train = 0.111002855, accuracy_train = 97.32%, accuracy_test = 98.00%
Epoch: 166, cost_train = 0.108495566, accuracy_train = 96.97%, accuracy_test = 98.01%
Epoch: 167, cost_train = 0.110637361, accuracy_train = 96.98%, accuracy_test = 98.09%
Epoch: 168, cost_train = 0.109643863, accuracy_train = 97.03%, accuracy_test = 98.16%
Epoch: 169, cost_train = 0.107852902, accuracy_train = 97.03%, accuracy_test = 98.16%
Epoch: 170, cost_train = 0.109934220, accuracy_train = 96.99%, accuracy_test = 98.08%
Epoch: 171, cost_train = 0.107425752, accuracy_train = 97.05%, accuracy_test = 98.09%
Epoch: 172, cost_train = 0.107458099, accuracy_train = 97.36%, accuracy_test = 98.09%
Epoch: 173, cost_train = 0.105990115, accuracy_train = 97.21%, accuracy_test = 98.19%
Epoch: 174, cost_train = 0.109216691, accuracy_train = 96.94%, accuracy_test = 98.06%
Epoch: 175, cost_train = 0.108108913, accuracy_train = 97.20%, accuracy_test = 98.03%
Epoch: 176, cost_train = 0.105129106, accuracy_train = 97.27%, accuracy_test = 98.04%
Epoch: 177, cost_train = 0.104320201, accuracy_train = 97.21%, accuracy_test = 98.16%
Epoch: 178, cost_train = 0.106594136, accuracy_train = 97.36%, accuracy_test = 98.18%
Epoch: 179, cost_train = 0.104281718, accuracy_train = 97.34%, accuracy_test = 98.07%
Epoch: 180, cost_train = 0.104609740, accuracy_train = 97.22%, accuracy_test = 98.13%
Epoch: 181, cost_train = 0.105680266, accuracy_train = 97.36%, accuracy_test = 98.18%
Epoch: 182, cost_train = 0.102493110, accuracy_train = 97.21%, accuracy_test = 98.16%
Epoch: 183, cost_train = 0.103388088, accuracy_train = 97.17%, accuracy_test = 98.16%
Epoch: 184, cost_train = 0.103840790, accuracy_train = 97.35%, accuracy_test = 98.11%
Epoch: 185, cost_train = 0.102359493, accuracy_train = 97.49%, accuracy_test = 98.15%
Epoch: 186, cost_train = 0.104462311, accuracy_train = 97.39%, accuracy_test = 97.99%
Epoch: 187, cost_train = 0.101017689, accuracy_train = 97.25%, accuracy_test = 98.11%
Epoch: 188, cost_train = 0.103247197, accuracy_train = 97.28%, accuracy_test = 98.14%
Epoch: 189, cost_train = 0.102705175, accuracy_train = 97.57%, accuracy_test = 98.14%
Epoch: 190, cost_train = 0.101657032, accuracy_train = 97.14%, accuracy_test = 98.11%
Epoch: 191, cost_train = 0.101874271, accuracy_train = 97.10%, accuracy_test = 98.19%
Epoch: 192, cost_train = 0.100622926, accuracy_train = 97.65%, accuracy_test = 98.22%
Epoch: 193, cost_train = 0.100870030, accuracy_train = 97.35%, accuracy_test = 98.07%
Epoch: 194, cost_train = 0.100850448, accuracy_train = 97.35%, accuracy_test = 98.28%
Epoch: 195, cost_train = 0.099740299, accuracy_train = 97.35%, accuracy_test = 98.20%
Epoch: 196, cost_train = 0.098460221, accuracy_train = 97.25%, accuracy_test = 98.22%
Epoch: 197, cost_train = 0.102268425, accuracy_train = 97.19%, accuracy_test = 98.12%
Epoch: 198, cost_train = 0.100526120, accuracy_train = 97.25%, accuracy_test = 98.17%
Epoch: 199, cost_train = 0.100211186, accuracy_train = 97.70%, accuracy_test = 98.19%
Epoch: 200, cost_train = 0.099278986, accuracy_train = 97.30%, accuracy_test = 98.20%
Epoch: 201, cost_train = 0.097961466, accuracy_train = 97.59%, accuracy_test = 98.07%
Epoch: 202, cost_train = 0.098098381, accuracy_train = 97.25%, accuracy_test = 98.13%
Epoch: 203, cost_train = 0.099078558, accuracy_train = 96.99%, accuracy_test = 98.34%
Epoch: 204, cost_train = 0.097043715, accuracy_train = 97.45%, accuracy_test = 98.13%
Epoch: 205, cost_train = 0.097974409, accuracy_train = 97.08%, accuracy_test = 98.22%
Epoch: 206, cost_train = 0.097421251, accuracy_train = 97.50%, accuracy_test = 98.18%
Epoch: 207, cost_train = 0.097799304, accuracy_train = 97.50%, accuracy_test = 98.16%
Epoch: 208, cost_train = 0.097035513, accuracy_train = 97.39%, accuracy_test = 98.23%
Epoch: 209, cost_train = 0.096547241, accuracy_train = 97.46%, accuracy_test = 98.30%
